workers,scale,load,1 layer average time,1 layer 90th precntile,1 layer worst time, 2 layers average time,2 layers 90th precntile,2 layers worst time, 3 layers average time,3 layers 90th precntile,3 layers worst time, 4 layers average time,4 layers 90th precntile,4 layers worst time, 5 layers average time,5 layers 90th precntile,5 layers worst time, 6 layers average time,6 layers 90th precntile,6 layers worst time
5,20,4,0.827479696274,0.33078789711,7.02702713013,0.279301333427,0.374184131622,0.374512195587,0.35685904026,0.442804098129,0.50979590416,0.406523752213,0.481309175491,0.575535058975,0.647967123985,0.670482873917,0.970635175705,0.665792036057,0.788965940475,0.821027040482
5,25,5,0.799335432053,0.195819139481,6.90204119682,0.216910290718,0.304551839828,0.34690284729,0.395825219154,0.436722993851,0.642426967621,0.504566812515,0.58373093605,0.606011152267,0.564016246796,0.704265117645,0.829681158066,0.799173021317,0.905095100403,0.990394115448
5,30,6,0.829556679726,0.108981847763,7.41644287109,0.234034609795,0.278584957123,0.472018003464,0.366721534729,0.522792100906,0.638398885727,0.57454020977,0.651714086533,1.1793050766,0.553812265396,0.592305898666,0.912407159805,0.77001106739,0.800935983658,1.58403301239
5,35,7,1.28819715977,0.257292985916,11.7033989429,0.283583784103,0.433343887329,0.552317857742,0.409866642952,0.368853092194,1.17700219154,0.571824645996,1.06403493881,1.15084910393,0.574534392357,0.654436826706,0.732092142105,0.783311915398,1.09171700478,1.53464698792
5,40,8,1.01101429462,0.146214962006,9.04629993439,0.277734398842,0.379314899445,0.532224178314,0.487812614441,0.700527906418,1.09785604477,0.556535863876,0.676859855652,1.05336904526,0.576585626602,0.599667072296,0.617924928665,0.769755959511,1.03086400032,1.15406513214
5,45,9,0.812109184265,0.173457145691,6.95060110092,0.267050790787,0.257699966431,0.463207006454,0.459680771828,0.617363929749,0.900692939758,0.637243843079,0.664422988892,1.39642882347,0.718221116066,0.811356067657,1.19118404388,0.759177446365,0.802625894547,0.805218935013
5,50,10,0.790799975395,0.464439868927,5.98692798615,0.319212126732,0.399908065796,0.42507815361,0.512763094902,0.681162118912,0.742741823196,0.684257888794,1.00548195839,1.13392210007,0.805363464355,0.875212907791,1.18276691437,1.13944981098,1.53289318085,1.73402786255
6,5,0,0.860172271729,0.121570825577,7.83188199997,0.166493582726,0.173234939575,0.215054035187,0.301379275322,0.426148891449,0.432267904282,0.336483263969,0.378988981247,0.380967140198,0.418547105789,0.4410572052,0.474341869354,0.490136098862,0.511671066284,0.532353878021
6,10,1,0.926211285591,0.264801025391,8.13859796524,0.212451601028,0.348485946655,0.385528802872,0.296076083183,0.370700120926,0.517338037491,0.379920578003,0.527981996536,0.557683944702,0.524250221252,0.706080198288,1.00648498535,0.724782991409,1.19007992744,1.50511097908
6,15,2,0.822692131996,0.259836912155,7.22317099571,0.235741305351,0.335048913956,0.591120004654,0.283633732796,0.306471824646,0.375149965286,0.369978404045,0.41016292572,0.523818016052,0.538298726082,0.605780124664,1.22958016396,0.641432356834,1.00455904007,1.22755694389
6,20,3,0.770157384872,0.12627696991,6.9035680294,0.177852010727,0.185826063156,0.198511123657,0.357791805267,0.505268096924,0.704428911209,0.48380715847,0.52117395401,1.23413801193,0.481135010719,0.604465007782,0.6346180439,0.543204927444,0.583808898926,0.591950893402
6,25,4,0.813632202148,0.471221208572,6.96883797646,0.249902963638,0.192215919495,0.828835010529,0.298531508446,0.32667183876,0.358035087585,0.377316212654,0.413926124573,0.441314935684,0.495246958733,0.622133970261,0.66214299202,0.569481182098,0.598323106766,0.662287950516
6,30,5,1.16968200207,0.236937999725,10.5208208561,0.268739366531,0.368770837784,0.542361974716,0.362705278397,0.448441028595,0.459666967392,0.462465453148,0.510450124741,0.765902042389,0.563851904869,0.597416162491,0.684652090073,0.721755361557,0.82054901123,1.28368902206
6,35,5,0.78855702877,0.116850137711,6.95405197144,0.231453680992,0.225583076477,0.378010034561,0.33329668045,0.365391016006,0.367620944977,0.471077513695,0.512346029282,0.670156955719,0.56905298233,0.627324104309,0.692135095596,0.668002080917,0.685548782349,0.839859962463
6,40,6,0.801454043388,0.151932001114,6.95438599586,0.235151481628,0.243816137314,0.263705968857,0.356741571426,0.368954181671,0.425915002823,0.49464662075,0.562404155731,0.566606044769,0.701690840721,0.792636871338,0.844678163528,0.727973818779,0.754055976868,0.758158922195
6,45,7,0.864016890526,0.27832198143,7.03497219086,0.361657381058,0.538063049316,0.560783147812,0.533105373383,0.823337078094,0.832645893097,0.768973302841,1.1328830719,1.13713288307,0.99681596756,1.55095887184,1.60633206367,1.23017389774,1.80395507812,1.84299898148
6,50,8,1.6422961235,0.48545217514,13.7565050125,0.606044054031,0.71418094635,0.78857588768,0.891906309128,1.08480405807,1.08610916138,1.20629575253,1.4307448864,1.5996491909,1.44622254372,1.78748512268,1.89670300484,1.6827378273,2.09880590439,2.2729640007
7,5,0,1.07263889313,0.180583000183,9.84225296974,0.230913305283,0.302626848221,0.308628082275,0.324835515022,0.497956037521,0.502629995346,0.452984213829,0.586116075516,0.598858118057,0.576908802986,0.676326990128,0.886970996857,0.664234256744,0.774574995041,0.790380001068
7,10,1,1.08121430874,0.219368934631,9.7339360714,0.296001291275,0.533360004425,0.583858013153,0.371836471558,0.444406986237,0.460533857346,0.501690268517,0.559083938599,0.672894001007,0.57096362114,0.737421035767,0.770882844925,0.903734016418,1.10262107849,1.43730711937
7,15,2,1.08360717297,0.210456848145,9.74286389351,0.218553757668,0.294516086578,0.329089164734,0.432099699974,0.569650173187,0.672117948532,0.511124181747,0.604736804962,0.77693605423,0.586390471458,0.719972133636,0.771950006485,0.817451548576,0.922665834427,1.05926799774
7,20,2,1.07221987247,0.200654983521,9.61914086342,0.273328089714,0.330362796783,0.523405075073,0.408423638344,0.628403902054,0.709821939468,0.540200996399,0.715049028397,0.906764984131,0.745031356812,1.00596809387,1.01711797714,0.781798505783,0.915045976639,0.966804981232
7,25,3,1.21710829735,0.199109077454,11.1233129501,0.19670419693,0.230278968811,0.243852853775,0.31806602478,0.384354114532,0.46800494194,0.41900832653,0.474586009979,0.589839935303,0.49645383358,0.531589031219,0.650840044022,0.616455769539,0.689038038254,0.853549003601
